No;Abstract;
223;Sistem pengeluaran dan pengembalian buku BOS di SDN Margahayu Utara Bandung masih dilakukan secara manual. Pencatatannya dilakukan di sebuah buku besar yang ditulis oleh petugas setiap ada anggota perpustakaan yang meminjam maupun yang mengembalikan buku. Dari hal tersebut sering muncul beberapa masalah yang sulit untuk diselesaikan. Mulai dari kesalahan penulisan judul buku, nama anggota serta kesulitan petugas maupun anggota dalam mencari buku yang akan dipinjam. Berdasarkan permasalahan di atas, maka dikembangkanlah sistem informasi yang dapat menyimpan data buku sedetail mungkin, data penyimpanan buku serta mencatat peminjaman serta pengembalian buku ke dalam database sehingga petugas dapat lebih cepat memproses pekerjaannya. Dalam pengembangan sistem informasi pengeluaran dan pengembalian buku BOS ini peneliti menggunakan bahasa pemrograman Visual Basic .NET dan MySQL 5.0 sebagai database servernya. Untuk perancangan sistemnya, peneliti menggunakan metode terstruktur yang menggunakan Flowmap, ERD, DFD sebagai alat bantu untuk merancang aplikasi peminjaman dan pengembalian buku BOS di perpustakaan SDN Margahayu Utara Bandung. Dengan adanya aplikasi ini diharapkan dapat mempermudah proses peminjaman dan pengembalian buku BOS, serta mempermudah bahkan mempercepat proses pembuatan laporan mengenai peminjaman dan pengembalian buku BOS yang dibutuhkan oleh pihak sekolah. Saran untuk pengembangan lebih lanjut agar ditambahkan fitur untuk mengelola uang denda yang diperoleh dari keterlambatan pengembalian buku maupun kehilangan buku. Kata kunci : Sistem pengeluaran dan pengembalian buku BOS di SDN Margahayu Utara Bandung masih dilakukan secara manual. Pencatatannya dilakukan di sebuah buku besar yang ditulis oleh petugas setiap ada anggota perpustakaan yang meminjam maupun yang mengembalikan buku. Dari hal tersebut sering muncul beberapa masalah yang sulit untuk diselesaikan. Mulai dari kesalahan penulisan judul buku, nama anggota serta kesulitan petugas maupun anggota dalam mencari buku yang akan dipinjam. Berdasarkan permasalahan di atas, maka dikembangkanlah sistem informasi yang dapat menyimpan data buku sedetail mungkin, data penyimpanan buku serta mencatat peminjaman serta pengembalian buku ke dalam database sehingga petugas dapat lebih cepat memproses pekerjaannya. Dalam pengembangan sistem informasi pengeluaran dan pengembalian buku BOS ini peneliti menggunakan bahasa pemrograman Visual Basic .NET dan MySQL 5.0 sebagai database servernya. Untuk perancangan sistemnya, peneliti menggunakan metode terstruktur yang menggunakan Flowmap, ERD, DFD sebagai alat bantu untuk merancang aplikasi peminjaman dan pengembalian buku BOS di perpustakaan SDN Margahayu Utara Bandung. Dengan adanya aplikasi ini diharapkan dapat mempermudah proses peminjaman dan pengembalian buku BOS, serta mempermudah bahkan mempercepat proses pembuatan laporan mengenai peminjaman dan pengembalian buku BOS yang dibutuhkan oleh pihak sekolah. Saran untuk pengembangan lebih lanjut agar ditambahkan fitur untuk mengelola uang denda yang diperoleh dari keterlambatan pengembalian buku maupun kehilangan buku.;
224;A??N??G Fashion Batik merupakan salah satu badan usaha yang bergerak di bidang penjualan Batik. Tujuan penulisan laporan adalah untuk menginvestigasi bagaimana membuat pengolahan data penjualan yang baik dan menyajikan informasi. Masalah yang didapat adalah proses pengolahan data masih manual, sederhana, membutuhkan waktu yang lama dalam pengolahan. Data dikumpulkan dari pengamatan langsung dan beberapa literatur yang berhubungan dengan pembelajaran Informatika dan wawancara dengan pihak Toko A??N??G Fashion Batik. Dari hasil analisis terhadap data atau informasi yang diperoleh, terdapat kebutuhan mendesak akan ketersediaan suatu program aplikasi pengolahan data penjualan. Untuk melakukan proses penjualan pada Toko A??N??G Fashion Batik dilakukan dengan cara menyimpan data tersebut sebagai arsip, kemudian data tersebut dimasukkan ke dalam komputer melalui aplikasi Ms.Excel. Untuk mengatasi masalah-masalah tersebut, diperlukan adanya sistem yang terkomputerisasi yang baru untuk meningkatkan efisiensi kerja. Dalam pembuatan sistem penjualan pada Toko A??N??G Fashion Batik ini dibutuhkan beberapa tahap, diantaranya yaitu desain perangkat lunak terdiri dari pembuatan data flow diagram ( DFD ), Entity Relationship Diagram (ERD ), Basis data, perancangan masukan, pembuatan program serta keluaran. Metodologi yang dipakai untuk merancang sistem terkomputerisasi tersebut adalah : menganalisis sistem yang sedang berjalan, mendesain sistem baru, membuat sistem / pemrograman, dan yang terakhir menguji sistem yang telah dibuat. Aplikasi dihasilkan dalam program ini adalah aplikasi sistem informasi penjualan pada Toko A??N??G Fashion Batik menggunakan bahasa pemrograman Microsoft Visual Basic 6.0. Aplikasi ini menghasilkan laporan data barang, laporan penjualan yang terdiri dari laporan data pesanan, pengiriman dan data penjualan.;
225;Toko Bangunan Tb Mulya adalah sebuah Toko Bangunan,yang menjual bahan bangunan dimana semua proses aktivitas nya masih secara manual, sehingga transaksinya terdapat kesalahan dalam perhitungan dan tidak cepat. Serta Persediaan barang masih dilakukan secara manual, sehingga terkadang ada kesalahan perhitungan stok. Dalam segala laporan pun belum sesuai standard dalam arti masih banyak yang harus diperbaiki. Guna menunjang kelancarang proses penjualan dan pembelian sparepart, maka dirancanglah Sistem Informasi Penjualan dan Pembelian yang mampu mempermudah pekerjaan karyawan-karyawan di ditoko tersebut. Metode pendekatan sistem yang digunakan pada sistem informasi ini menggunakan metode prototype yang mana agar disaat menganalisis terjadi kesalahan lebih mudah kembali memperbaiki di langkah analisis yang telah dilewati sebelumnya. Berdasarkan analisa, perancangan, implementasi dan pengujian aplikasi penjualan menunjukkan bahwa peranan aplikasi Komputer dalam sistem informasi sangat penting sebagai penunjang dalam meningkatkan kualitas, efektifitas, kegiatan penjualan dan pelayanan di lingkungan perusahaan. Sistem informasi penjualan dan pembelian ini diharapkan dapat membantu segala proses penjualan dan pembelian bahan banguan pada Toko Bangunan Tb Mulya dengan efektif dan efisian.;
226;Ada beberapa permasalahan yang terjadi didalam sektor pertanian di Jawa Barat yaitu kurangnya penyampaian informasi kepada petani dalam menentukan musim tanam dari tanaman hortikultura dikarenakan predikasi musim yang berubah-rubah, tidak sedikit yang menyebabkan banyak para petani yang mengalami gagal panen. Tak hanya itu, penyampaian laporan hasil dari tanaman unggulan holtikultura dari Dinas Pertanian Kabupaten kepada Dinas Pertanian Provinsi masih menggunakan metode pencatatan dalam bentuk dokumen yang memakan waktu cukup lama. Metode Pengumpulan data menggunakan teknik observasi, dokumentasi, dan wawancara. Metode penelitian yang digunakan pada penelitian ini menggunakan metode pendekatan terstruktur dan metode pengembangan prototype. Desain penelitian menggunakan metode deskriptif dan tindakan. Alat perancangan sistem yang digunakan untuk menggambarkan model sistem diantaranya diagram alir dokumen (flowmap), diagram konteks, data flow diagram (DFD) dan kamus data, sedangkan untuk perancangan basis data menggunakan normalisasi, table relasi, entity relational diagram (ERD), kodefikasi, dan struktur file. Dalam pembangunan sistem Informasi Standar Operasional Prosedur Pelayanan mahasiswa asing ini menggunakan bahasa pemrograman PHP dan Mysql sebagai database. Sistem yang di bangun dapat mengatasi monitoring, menjadwalkan musim tanam,dan pengiriman laporan hasil panen komoditas unggulan utama tanaman hortikultura Pada Dinas Pertanian Kabupaten Bandung dan Dinas Pertanian Provinsi Jawa Barat.;
227;Dalam hal meningkatkan mutu sebuah sekolah ada banyak aspek yang dapat diperhatikan seperti meningkatkan kegiatan administrasi sarana prasarana pendidikan maka dari itu dibutuhkan peran alat bantu teknologi yaitu sebuah perangkat lunak/aplikasi oleh karena itu perangkat lunak yang baik sangatlah dibutuhkan khususnya pada sekolah. Pada kesempatan ini penulis tertarik untuk melakukan penelitian untuk skripsi dengan judul ??PERANCANGAN PERANGKAT LUNAK ADMINISTRASI SARANA PRASARANA PENDIDIKAN DI SMK SANDY PUTRA BANDUNG BERBASIS WEB??. Dalam pengembangan sistem informasi ini penulis menggunakan metodologi penelitian secara deksriptif dengan cara studi pustaka, yaitu mengumpulkan data dan informasi yang diperlukan melalui diktat perkuliahan, referensi dari buku-buku pedoman dan melakukan wawancara langsung kepada pemilik sekolah serta melakukan observasi langsung. Metode pendekatan sistem yang penulis gunakan adalah pendekatan berorientasi objek (OOP), dimana pendekatan dapat membantu dalam mengembangkan sistem yang akan dibuat dan dengan menerapkan pengembangan sistem dengan model prototyping dan menggunakan alat bantu Unified Modeling Language(UML) dengan Framework CodeIgniter dengan perancangan basis data menggunakan bahasa SQL dengan menggukan aplikasi MySQL. Dengan begitu penulis mengharapkan adanya aplikasi tersebut, dapat membantu sekolah dalam meningkatkan mutu kualitas pendidikan sehingga mendapatkan hasil sesuai dengan misi dan visi sekolah.;
228;Lembaga Pendidikan SMP Negeri 30 Bandung adalah sekolah menengah pertama yang memiliki banyak siswa dan guru. Seharusnya telah memiliki sistem informasi akademik guna menunjang dan memudahkan sistem pendidikan di sekolah tersebut. Sistem informasi akademik yang belum memadai dan belum maksimal pada SMP Negeri 30 Bandung mengakibatkan kurang efektifnya informasi yang ada dilingkungan SMP Negeri 30 Bandung yang seharusnya dapat diakses dengan cepat oleh semua pihak. Untuk dapat mengembangkan pendidikan berkualitas unggul dalam bidang keilmuan, moralitas, mentalitas berdasarkan ke-Islaman dan budaya Sunda yang mampu bersaing pada tingkat lokal, nasional serta Internasional. Maka dirancang sistem infomasi akademik berbasis web ini diharapkan dapat membantu serta menunjang sistem pendidikan khususnya didalam ruang lingkup SMP Negeri 30 Bandung. Metode penelitian yang digunakan adalah metode deskriptif dan metode pengembangan sistem menggunakan metodologi prototype. Alat bantu untuk analisis dan perancangan Sistem yang akan dibangun adalah dengan metode pendekatan objektif dengan alat bantu Diagram Use Case, Skenario Use Case, Diagram Activity , Diagram Kelas, Diagram Objek, Diagram Komponen dan Diagram Deployment. Dalam pembangunan sistem Informasi akademik berbasis web ini didukung menggunakan software dreamweaver untuk perancangan web dan MySQL untuk pengelolaan database. Sistem yang diusulkan ini dapat digunakan untuk membantu dalam proses penyedia informasi di lingkungan SMP Negeri 30 Bandung, sehingga kendala yang dihadapi saat ini bisa diselesaikan dengan baik.;
229;CV. Putra Perdana Mandiri merupakan perusahaan yang bergerak di bidang penjualan bahan material bangunan. Proses pencatatan pada perusahaan ini masih dilakukan secaara manual, yaitu diantaranya dengan menuliskan transaksi penjualan ke sebuah nota dan dikumpulkan menjadi arsip, proses pencarian data keluar masuknya barang juga memerlukan waktu yang lama dan tidak jarang nota yang di cari hilang atau rusak. Untuk itu penulis bermaksud membuat suatu usulan mengenai perancangan sistem yang baru, metode penelitian yang digunakan adalah metode deskriptif.Sedangkan untuk membangun perangkat lunak yang akan di usulkan, penulis menggunakan metode prototype. Dan untuk metode pendekatan sistemnya yang digunakan berupa metode terstruktur antara lain flowmap, diagram konteks, DFD, relasi tabel, dan ERD. Untuk menunjang perancangan dan pembuatan program sistem informasi penulis menggunakan perangkat lunak berbasis bahasa pemograman JAVA dan untuk data base menggunakan MySQL. Dengan adanya sistem yang diusulkan diharapkan permasalahan yang dihadapi dapat teratasi dengan baik dan sesuai dengan apa yang di harapkan dalam meningkatkan kinerja pekerjaan yang dilakukan pada CV. Putra Perdana Mandiri.;
230;Perusahaan pariwisata kecil dan menengah telah melihat munculnya dan popularitas pasar elektronik di seluruh dunia di internet sebagai kesempatan untuk meningkatkan posisi kompetitif mereka. Namun, ada beberapa hambatan yang mencegah organisasi perhotelan kecil dari mengambil keuntungan dari TI dan Internet. Skripsi ini bertujuan melaporkan online Sistem reservasi yang memperkenalkan teknologi Internet untuk sebuah hotel kecil terletak di wilayah Teminabuan serta menandakan rekayasa ulang beberapa proses bisnisnya. Sistem, yang menampilkan pelanggan layanan reservasi berbasis web adalah user-friendly, solusi murah didesain khusus untuk keperluan kecil dan menengah organisasi perhotelan dengan sedikit pengetahuan IT sebelumnya. Sistem informasi reservasi dikembangkan dengan waterfall model dan menggunakan alat bantu berupa flowmap, diagram konteks, DFD, dan alat perancangan database yang diusulkan berupa ERD. Sedangkan perangkat lunak yang digunakan PHP, MySQL, text editor Sublime dan framework menggunakan CI. Sistem informasi reservasi dapat memberikan kemudahan bagi pengelola hotel dan pelanggan hotel dalam melakukan pemesanan kamar. Selain itu pengunjung juga memperoleh segala informasi mengenai fasilitas dan berita yang ada di Hotel Nusa Indah sekaligus sebagai ajang promosi dalam mengembangkan hotel.;
231;Mekar Asih Art Shop merupakan sebuah toko yang bergerak di bidang penjualan dan pemasaran produk kerajinan tangan. Kurang efektifnya media promosi yang digunakan menyebabkan konsumen kesulitan untuk mengetahui keberadaan Mekar Asih Art Shop itu sendiri sehingga penjualan produk yang terjadi sulit untuk mengalami peningkatan. Tujuan dilakukannya penelitian ini adalah untuk mengetahui sistem yang sedang berjalan, membuat perancangan sistem, melakukan analisis, pengujian sistem serta melakukan implementasi sistem informasi penjualan pada mekar asih art shop. Metode dalam penelitian ini menggunakan metode deskriptif, sedangkan metode pendekatan yang digunakan dalam pendekatan terstruktur dan metode pengembangnya menggunakan model prototype, cara pengumpulan data yang digunakan observasi dan wawancara. Penulis menggunakan alat bantu dan teknik pengerjaan seperti flowmap, diagram konteks, dan data flow diagram (DFD). Proses pembuatan dengan menggunakan perangkat lunak adobe dreamweaver Cs6, PHP, database MySQL dan web server apache. Dengan adanya sistem aplikasi penjualan berbasis web atau e-commerce ini diharapkan dapat mempermudah proses transaksi penjualan, dan memperluas media promosi pemasaran.;
232;Penggunaan perkembangan teknologi sekarang ini semakin pesat, salah satu perkembangan teknologi itu adalah internet. Kemudian yang didapatkan dengan menggunakan internet pun ikut di manfaatkan oleh bidang pemesanan tiket yaitu dengan adanya aplikasi pemesanan tiket travel berbasis mobile android. Sehingga dengan mengunakan smartphone, pengguna sistem dapat memesan tiket. Hal ini tentu dapat menjadi alat bantu didalam masyarakat khususnya dalam pemesanan tiket. Layaknya pada komputer, smartphone pun dapat diinstall berbagai macam perangkat lunak yang diinginkan. Selain itu, perangkat mobile juga dapat digunakan untuk bertransaksi. Seperti melakukan transaksi pemesanan tiket travel melalui perangkat mobile. Tahapan yang penulis lakukan untuk melakukan proses pembangunan aplikasi tersebut meliputi tahapan alisis permasalahan dan kebutuhan, perancangan aplikasi dan desain antar muka aplikasi, sehingga aplikasi yang terbentuk menjadi mudah untuk di gunakan.;
233;Kemajuan teknologi mendorong Badan Pariwisata dan Seni Budaya Bidang Seni dan Budaya Kabupaten Ogan Komering Ulu Timur untuk senantiasa terus meningkatkan kualitas informasi yang akan diberikan kepada masyarakat untuk memfasilitasi dan mengenalkan budaya dengan mempermudah para pelaku event dan paguyuban kebudayaan untuk mendapatkan izin event dan mendaftarkan paguyubannya serta untuk memperkenalkan kebudayaan di Ogan Komering Ulu Timur. Hal tersebut yang menjadi alasan pentingnya perancangan sistem informasi perizinan berbasis web pada Badan Pariwisata dan Seni Budaya Bidang Seni dan Budaya agar informasi selalu ter-update dengan cepat. Selama ini belum adanya web untuk pihak luar dalam menyampaikan informasi kedalam web. Perancangan sistem yang digunakan adalah menggunakan metode proses prototype, adapun pengumpulan data penelitian didapatkan dari sumber data primer yaitu dari hasil observasi dan wawancara serta dari sumber data skunder yaitu berdasarkan dokumentasi dan informasi. Metode pendekatan sistemnya adalah metode pendekatan terstruktur, alat bantu yang digunakan untuk merancang sistem berupa Flowmap, Diagram Konteks dan DFD. Sedangkan alat bantu dalam membangun sistem informasi perizinan ini menggunakan MySQL, dan bahasa pemrograman PHP. Dengan adanya sistem informasi perizinan berbasis web ini diharapkan dapat menjadi mendia alternatif untuk dapat menyelesaikan permasalahan waktu perizinan dan berbagi data tentang pariwisata dan kebudayaan khususnya pada Kabupaten Ogan Komering Ulu Timur, sehingga kendala yang dihadapi saat ini bisa diselesaikan dengan baik.;
234;Wisma Asri Hotel adalah salah satu hotel yang ada di Bandung tepatnya di Jalan Jl.Merak No.5 Bandung, saat ini Wisma Asri Hotel memiliki tingkat hunian yang cukup tinggi mengingat keberadaannya tepat barada di tepi jalan. Namun keberadaan tersebut tidak didukung oleh suatu sistem yang handal dari mulai pengarsipan data yang masih manual manggunakan buku catatan bahkan dari media promosi banyak masyarakat luar Bandung yang tidak mengetahui keberadaan hotel, oleh sebab itu di perlukan suatu sistem informasi berbasis web yang dapat mampromosikan Wisma Asrri Hotel sampai ke luar daerah serta bisa di akses oleh masyarakat luas dan dapat membantu dalam pengolahan dan pemeliharaan data yang dimiliki hotel, sehingga dapat menghemat waktu dan meningkatkan keakuratan informasi hasil pengolahan data hotel. Untuk mengatasi permasalahan yang ada pada Wisma Asri Hotel Bandung. Penulis membangun suatu sistem informasi reservasi dan pelayanan hotel berbasis website di Wisma Asri Hotel dengan mengunakan Metode pengembangan sistem yang digunakan yaitu metode prototype dimana teknik pengumpulan data yang digunakan antara lain yaitu wawancara dan observasi. Metode pengembangan menggunakan beberapa alat bantu yaitu flowmap, diagram konteks, data flow diagram (DFD), kamus data, normalisasi, dan entity relationship diagram (ERD). Bahasa pemograman yang digunakan adalah PHP didukung dengan Apache sebagai webserver dan MySQL sebagai databasenya. Sistem informasi yang dibangun oleh penulis diharapkan dapat digunakan untuk mengolah data yang ada, dimulai pada saat reservasi, check in, laundry, sampai proses tamu check out, sehingga dapat mempermudah dalam proses pencarian data, penghitungan biaya keseluruhan dan juga mempermudah dalam proses pembuatan laporan, sehingga dapat meningkatkan kualitas kerja karyawan hotel.;
235;K2 Busana merupakan sebuah perusahaan yang bergerak dalam bidang bisnis penjualan pakaian. Sistem penjualan dan pembelian masih sangat minim dalam pemanfaatan teknologi dimana media penyimpanan data transaksi disimpan dalam bentuk arsip, pembuatan laporan yang harus membuka semua data, serta sistem penjualan dan pembelian yang masih ditulis didalam sebuah nota. Penelitian ini bertujuan untuk mengetahui sistem yang sedang berjalan, membuat perancangan sistem, melakukan analisis, dan menguji serta untuk melakukan implementasi sistem informasi penjualan dan pembelian. Metode penelitian yang digunakan pada penelitian ini menggunakan metode pendekatan terstruktur. Alat perancangan sistem yang digunakan untuk menggambarkan model sistem diantaranya diagram alir dokumen (Flow Map), Diagram Konteks, Data Flow Diagram dan Kamus Data, sedangkan untuk perancangan basis data menggunakan normalisasi, Tabel Relasi, Entity Relational Diagram (ERD). Bahasa pemograman yang digunakan dalam merancang dan mengimplementasikan sistem informasi penjualan dan pembelian adalah php, html, css, ajax, dan javascript serta database yang digunakan adalah MySql. Dengan dibangunnya sistem informasi penjualan dan pembelian ini dapat digunakan untuk membantu proses transaksi penjualan dan pembelian, serta laporan transaksi penjualan dan pembelian.;
236;Indah Motor bergerak pada bidang pelayanan jasa servis dan penjualan suku cadang. Dalam transaksi pelayanan jasa servis, Indah Motor masih menggunakan proses manual dalam setiap kegiatan pencatatan transaksi, data barang, pengontrolan stok suku cadang dan pencarian suku cadang. Selain itu untuk membuat laporan penjualan mengalami kesulitan karena pencarian data yang akan dijadikan laporan lama dicari. Untuk itu maka perlu dibangun sebuah sistem informasi yang bisa menangani permasalahan tersebut. Tahapan kedua dari penelitian adalah testing terhadap perangkat lunak yang dibuat dengan metode pengujian Black Box.Metode penelitian yang dilakukan penulis adalah metode pengumpulan data,metode pengembangan sistem, metode pendekatan sistem. Metode pengumpulan data dilakukan dengan menggunakan sumber data primer dan sekunder. Untuk metode pengembangan sistem penulis menggunakan metode prototype, sedangkan untuk alat bantu analisis menggunakan use case diagram, activity diagram,sequence diagram, collaboration diagram, class diagram, object diagram dan component diagram. Dalam pembuatan perangkat lunaknya menggunakan bahasa pemrograman java dan basis data menggunakan MySQL . Sistem Informasi penjualan dan pelayanan service ini dapat menjadi salah satu solusi yang dapat digunakan untuk mempermudah pemilik bengkel dalam mengolah data penjualan spare part, data pelayanan service, laporan data spare part serta pembuatan nota transaksi penjualan dan pelayanan service menjadi lebih mudah cepat dan efisien sehingga dapat membantu meningkatkan keuntungan bengkel dalam menjalankan usahanya. Serta akan membantu dalam membuat keputusan yang akan membangun sistem informasi sehingga akan membantu membuat keputusan untuk meningkatkan pelayanan di bengkel semi motor.Tujuan penelitian ini adalah untuk mengetahui sistem yang berjalan, membuat perancangan sistem,melakukan testing dan implementasi sistem informasi penjualan suku cadang dan pelayanan jasa servis.;
237;Jepara command line, adalah aplikasi dengan basic sistem informasi yang berbasis web. Aplikasi ini nantinya akan menjadi alat pertimbangan untuk pengambilan keputusan oleh pemerintah kabupaten jepara sehingga pengambilan keputusan bisa dilakukan dengan lebih cepat dan efisien. Fitur yang akan dimuat dalam pengembangan aplikasi ini nantinya akan terdiri dari 4 modul, diantaranya yaitu modul untuk login, modul pengaduan masyarakat, modul profil daerah, dan modul CCTV. Modul untuk login akan menggunakan nomer KTP (Kartu Tanda Penduduk), sehingga saat melakukan pendaftaran bisa sekalian merangkap sebagai sensus penduduk. Modul pengaduan masyarakat memiliki fungsi komunikasi dua arah yang dilakukan dengan perbincangan didalam kolom pengaduan masyarakat yang bersifat interaktif dan live chat. Modul profil daerah adalah modul yang akan berisi tentang latar belakang dari profil suatu kecamatan, sehigga masyarakat dapat memahami asal-usul daerahnya karena penerapan dari aplikasi ini nantinya akan dicoba dalam lingkup kecamatan terlebih dahulu. Modul CCTV modul ini nantinya akan menjadikan live security dari suatu kecamatan, fitur ini memiliki kemampuan aplikasi untuk terhubung dengan CCTV yang diletakkan dibeberapa titik diwilayah kecamatan. Dengan pembagian beberapa chanel dalam satu kolom maka akan mempermudah dalam pemantauan aktivitas warga maupun pendatang. Perancangan aplikasi ini yang berbasis web akan mempermudah akses dari berbagai perangkat. Pembuatan dan pengembangan aplikasi akan menggunakan bahasa pemrograman HTML (Hyper Text Mark up Language), PHP, dan javascript. Pengembangan interface akan menggunakan Bootstrap. Bootstrap adalah sebuah framework CSS yang menyediakan kumpulan komponen-komponen interface dasar pada web. Dengan menggunakan interface berbasis bootstrap maka interface akan mudah untuk disesuikan dengan perangkat yang mengaksesnya sehingga lebih portable dan efisien. Hasil akhir dari pembuatan aplikasi diharapkan bisa menjadi suatu sistem terapan baru sebagaimana layaknya smartcity yang mulai menerapkan berbagai macam teknologi untuk menjaga kemanan dan kemudahan bagi masyarakatnya. Aplikasi ini juga diharapkan nantinya bisa menjadi alat pendukung dan pertimbangan dalam pengambilan keputusan untuk mengatasi suatu masalah, karena sifatnya yang live report maka akan mempermudah penggunanya untuk;
238;Toko cat PD. SELATAN merupakan perusahaan yang bergerak di bidang penjualan cat dan berbagai alat untuk kebutuhan pengrcatan lainnya. Perusahaan ini dalam kesehariannya belum menggunakan teknologi informasi untuk melakukan proses pelayanan penjualan dengan hanya cara memesan dan menulis di selembar bon. Pembelian pun dilakukan hanya dengan menelpon supplier. Pengelolaan barang yang tersedia hanya dengan data barang yang masuk atau data barang yang disimpan tanpa ada pendataan ulang. Untuk itu penulis bermaksud membuat suatu usulan mengenai perancangan sitstem yang baru, perancangan sistem ini di buat dengan metode pendekatan berorientasi terstruktur dan metode pengembangan prototype. dan metode pengumpulan data yang digunakan adalah observasi, dokumentasi, dan wawancara. Alat bantu yang digunakan adalah DFD, Flowmap, Konteks Diagram, Kamus Data,Perancangan Basis Data. Sistem informasi yang akan di bangun berbasis web dengan sebuah sistem database yang terintegrasi dan dapat menampung data penjualan dan pembelian barang dalam jumlah besar, sehingga diharapkan dapat memperbaiki permasalahan yang ada pada PD.SELATAN BANDUNG.;
239;CV. KUMIS KONTRAKTOR merupakan sebuah perusahaan yang bergerak di bidang penyedian barang dan jasa kontruksi baja yang Bertempat di kampung Cijeungjing Padalarang, Bandung Barat. Proses bisnis di dalam perusahaan jasa konstruksi dilakukan secara sederhana dan kesulitan dalam pengolahan data secara keseluruhan dikarnakan masih menggunakan aplikasi Microsoft Excel di simpan dalam folder-folder dan di arsipkan sehingga menyulitkan dalam pencarian data. Sehingga CV. KUMIS KONTRAKTOR membutuhkan adanya suatu sistem informasi manajemen proyek yang mampu untuk membantu dan mempermudah perusahaan ini dalam menangani setiap proyek-proyek yang ada serta dapat memberikan informasi-informasi proyek yang dibutuhkan secara cepat dan akurat. Adapun metode penelitian yang penulis gunakan untuk menyelesaikan tugas akhir ini adalah metode sistem yang berorientasi terstruktur dan metode pengembangan sistem adalah waterfall serta perangkat lunak menggunakan Java NetBeans 7.0 untuk basis data menggunakan MySql. Sistem Informasi Manajemen Proyek Kontruksi Baja Pada CV. Kumis Kontraktor ini diharapkan dapat membantu memecahkan permasalahan yang terdapat di CV. Kumis Kontraktor dalam mengelola laporan pembuatan data konsumen, material, pembuatan rincian anggaran belanja (RAB), penjadwalan maupun pada saat me-monitoring suatu proyek sehingga dapat memudahkan perusahaan untuk meningkatkan kualitas kinerja perusahaan kedepannya.;
240;CV. Toko Bangunan ENO sebuah usaha mandiri yang bergerak dalam bidang penjualan alat bangunan dan perlengkapan bangunan. Perusahaan ini masih menggunakan cara penulisan manual, dalam hal persediaan barang dan penjualannya yang mungkin bisa menyebabkan kerugian ataupun menguntungkan salah satu pihak. Dari hal ini masalah tersebut membutuhkan solusi yaitu sebuah Sistem Informasi Persediaan Barang dan Penjualan. Dengan tujuan pengelolaan persediaan barang dan penjualannya lebih mudah dan lebih baik. Sistem Informasi Persediaan Barang dan Penjualan ini dapat membantu mengelola toko dalam persediaan barang dan penjualan dengan pencatatan transaksi yang terkomputerisasi ke dalam database. Sistem ini memiliki kemampuan untuk mengolah data dari mulai pemasukkan data barang, data penjualan barang, data pembelian barang, pembuatan laporan berdasarkan periode, hingga dapat melihat keuntungan perhari dan investasi toko. Dalam pembanguan sistem ini penulis menggunakan metode penelitian deskriptif dan menggunakan metode pengembangan sistem prototype. Dan menggunakan alat bantu yaitu dengan Flow Map, Diagram Conteks, DFD,Kamus Data, MySQL sebagai Basis Data, dan berbasis Aplikasi Web Menggunakan PHP. Setelah menganalisis tujuan pembangunan sistem ini oleh sistem yang telah selesai dengan hasil yang ditunjukan maka dapat disimpulkan bahwa aplikasi ini sudah dapat memenuhi kebutuhan informasi untuk pengelolaan persediaan barang dan penjualan, beserta datanya dengan baik. Agar dapat membantu pengelolaan usaha tersebut;
241;Bank Sampah Binangkit Sukagalih adalah organisasi tingkat kelurahan yang diperuntukan bagi warganya untuk mengelola sisa sampah untuk menghasilkan sumber dana baru bagi warga sekitarnya dan kreatifitas, pengelolaan sampah ini menghasilkan suatu penghasilan tambahan untuk warga sekitar berupa simpanan, tabungan, masih belum terkomputerisasi. Oleh karena itu dibutuhkan sistem informasi bank sampah untuk memproses pendaftaran, menabung, penyetoran ke pengepul, dan setoran akhir menghasilkan informasi yang cepat dan akurat. Sistem informasi Bank sampah ini menggunakan metode penelitian deskriptif. Metode pengembangan sistem yang digunakan adalah waterfall, alat bantu yang digunakan untuk merancang sistem berupa Flowmap, Diagram Konteks, DFD dan ERD. Sedangkan alat pembangunan aplikasi database menggunakan MySQL dan bahasa pemrograman Java. Aplikasi yang di buat dapat membantu dalam proses menabung membantu proses pengambilan simpanan dan melakukan proses penyetoran setoran sampah serta mempunyai kelebihan untuk memperoleh informasi yang lebih cepat, tepat dan akurat mengenai data nasabah.;
